계수,이름,단위 비율,도면 리비전 번호,도면층,마지막 파일 저장자,블록 단위,색상,선가중치,선종류,선종류 축척,위치 X,위치 Y,위치 Z,작성자,제목,주석,주제,총 편집 시간,축척 X,축척 Y,축척 Z,키워드,파일 수정,파일 액세스됨,파일 위치,파일 이름,파일 작성됨,파일 크기,플롯 스타일,하이퍼링크,하이퍼링크 기본,회전,EdgeStyleId,FaceStyleId,VisualStyleId,값,기울기,높이,두께,스타일,폭 비율,각도,길이,끝 X,끝 Y,끝 Z,델타 X,델타 Y,델타 Z,시작 X,시작 Y,시작 Z,재료,내용,위치 X1,위치 Y1,위치 Z1,폭,ContentsRTF,ShowBorders,단축 반지름,단축 벡터 X,단축 벡터 Y,단축 벡터 Z,면적,반지름 비율,시작 각도,장축 반지름,장축 벡터 X,장축 벡터 Y,장축 벡터 Z,중심점 X,중심점 Y,중심점 Z,닫기,전역 폭,각도1,간격,연관,원점 X,원점 Y,유형,이중,축척,패턴 이름,BackgroundColor,반지름,전체 각도
1,점,,,0,joobs,,ByBlock,도면층별,ByLayer,1.0000,98734.2887,76588.0798,0.0000,,,,,89,,,,,2026-06-16 오후 8:20:10,2026-06-16 오후 8:20:10,C:\Users\joobs\Downloads,옥천학원수정.dwg,2026-06-16 오후 8:15:29,43832,ByBlock,,,,(0),(0),(0),,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,선,,,ZST,joobs,,ByLayer,도면층별,ByLayer,1.0000,,,,,,,,89,,,,,2026-06-16 오후 8:20:10,2026-06-16 오후 8:20:10,C:\Users\joobs\Downloads,옥천학원수정.dwg,2026-06-16 오후 8:15:29,43832,ByLayer,,,,(0),(0),(0),,,,0.0000,,,90,4150.0784,102064.7209,54746.5860,0.0000,0.0000,4150.0784,0.0000,102064.7209,50596.5076,0.0000,ByLayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,선,,,ZST,joobs,,ByLayer,도면층별,ByLayer,1.0000,,,,,,,,89,,,,,2026-06-16 오후 8:20:10,2026-06-16 오후 8:20:10,C:\Users\joobs\Downloads,옥천학원수정.dwg,2026-06-16 오후 8:15:29,43832,ByLayer,,,,(0),(0),(0),,,,0.0000,,,270,3790.0784,102064.7209,41306.5860,0.0000,0.0000,-3790.0784,0.0000,102064.7209,45096.6644,0.0000,ByLayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,선,,,0,joobs,,ByBlock,도면층별,ByLayer,1.0000,,,,,,,,89,,,,,2026-06-16 오후 8:20:10,2026-06-16 오후 8:20:10,C:\Users\joobs\Downloads,옥천학원수정.dwg,2026-06-16 오후 8:15:29,43832,ByBlock,,,,(0),(0),(0),,,,0.0000,,,0,0.0000,65224.3640,31192.5338,0.0000,0.0000,0.0000,0.0000,65224.3640,31192.5338,0.0000,ByLayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,여러 줄 문자,,,DIM,joobs,,ByBlock,도면층별,ByLayer,1.0000,,,,,,,,89,,,,,2026-06-16 오후 8:20:10,2026-06-16 오후 8:20:10,C:\Users\joobs\Downloads,옥천학원수정.dwg,2026-06-16 오후 8:15:29,43832,ByBlock,,,180,(0),(0),(0),,,,,,,,,,,,,,,,,,ByLayer,{\fDotum|b0|i0|c129|p50;정지},45703.8088,46917.8808,0.0000,50649.5744,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset129 System;}{\f1\fmodern\fprq2\fcharset129 \'B5\'B8\'BF\'F2;}}
{\colortbl\red0\green0\blue0;}
\pard\plain\f0\cf0\fs48 {\f1 \b0 \i0 \u51221?\u51648?}\par },False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,여러 줄 문자,,,DIM,joobs,,ByBlock,도면층별,ByLayer,1.0000,,,,,,,,89,,,,,2026-06-16 오후 8:20:10,2026-06-16 오후 8:20:10,C:\Users\joobs\Downloads,옥천학원수정.dwg,2026-06-16 오후 8:15:29,43832,ByBlock,,,0,(0),(0),(0),,,,,,,,,,,,,,,,,,ByLayer,{\fDotum|b0|i0|c129|p50;정지},46663.7077,39122.9641,0.0000,50649.5744,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset129 System;}{\f1\fmodern\fprq2\fcharset129 \'B5\'B8\'BF\'F2;}}
{\colortbl\red0\green0\blue0;}
\pard\plain\f0\cf0\fs48 {\f1 \b0 \i0 \u51221?\u51648?}\par },False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,선,,,0,joobs,,ByBlock,도면층별,ByLayer,1.0000,,,,,,,,89,,,,,2026-06-16 오후 8:20:10,2026-06-16 오후 8:20:10,C:\Users\joobs\Downloads,옥천학원수정.dwg,2026-06-16 오후 8:15:29,43832,ByBlock,,,,(0),(0),(0),,,,0.0000,,,0,240.0000,49482.9451,41974.2353,0.0000,240.0000,0.0000,0.0000,49242.9451,41974.2353,0.0000,ByLayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,선,,,0,joobs,,ByBlock,도면층별,ByLayer,1.0000,,,,,,,,89,,,,,2026-06-16 오후 8:20:10,2026-06-16 오후 8:20:10,C:\Users\joobs\Downloads,옥천학원수정.dwg,2026-06-16 오후 8:15:29,43832,ByBlock,,,,(0),(0),(0),,,,0.0000,,,0,240.0000,49482.9451,44274.2353,0.0000,240.0000,0.0000,0.0000,49242.9451,44274.2353,0.0000,ByLayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,선,,,0,joobs,,ByBlock,도면층별,ByLayer,1.0000,,,,,,,,89,,,,,2026-06-16 오후 8:20:10,2026-06-16 오후 8:20:10,C:\Users\joobs\Downloads,옥천학원수정.dwg,2026-06-16 오후 8:15:29,43832,ByBlock,,,,(0),(0),(0),,,,0.0000,,,270,2300.0000,49482.9451,41974.2353,0.0000,0.0000,-2300.0000,0.0000,49482.9451,44274.2353,0.0000,ByLayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
